Location,Case Number,Case Name,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Serve Date,Compensation,Pro Se Filer,Mean
0193-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.4682062864303589, 0.0, 0.0)","(0.7308440804481506, 0.6495413184165955, 0.6877983808517456)","(0.0, 0.0, 0.0)","['avg', 0.09223464876413345, 0.04996471852064133, 0.05290756747126579]"
0196-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.5248206257820129, 0.297096848487854, 0.3794116973876953)","(0.21964865922927856, 0.14299342036247253, 0.17321935296058655)","(0.39500606060028076, 0.15207666158676147, 0.21960556507110596)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","['avg', 0.8568829894065857, 0.8147823810577393, 0.8286339044570923]"
0206-01.html,"(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.8672744631767273, 0.8672744631767273, 0.8672744631767273)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.7566202878952026, 0.5466058850288391, 0.6346911787986755)","(0.23651911318302155, 0.19222736358642578, 0.21208547055721283)","(0.6289797425270081, 0.5653735399246216, 0.5954828858375549)","(0.14024317264556885, 0.34053170680999756, 0.19866780936717987)","(1.0000003576278687, 1.0000003576278687, 1.0000003576278687)","(0.5529773235321045, 0.5529773235321045, 0.5529773235321045)","['avg', 0.783278226852417, 0.7742302417755127, 0.7739371061325073]"
0214-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.37811627984046936, 0.0, 0.0)","(0.22122050821781158, 0.0, 0.0)","(0.16071376204490662, 0.0, 0.0)","(0.673728346824646, 0.0, 0.0)","(0.0, 0.27164793014526367, 0.0)","(0.0, 0.0, 0.0)","['avg', 0.11029068380594254, 0.02089599519968033, 0.0]"
0216-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5650343894958496, 0.5856122970581055, 0.5751392841339111)","(0.5427659749984741, 0.4850510060787201, 0.5122880339622498)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.9136276245117188, 0.9107709527015686, 0.9120604395866394]"
0217-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.5333520770072937, 0.5320290327072144, 0.5326897501945496)","(0.47164386510849, 0.4107450246810913, 0.4390929639339447)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.9057196378707886, 0.9009332656860352, 0.9031647443771362]"
0228-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.8672744631767273, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.20570196211338043, 0.0, 0.0)","(0.13966701924800873, 0.0, 0.0)","(0.0, 0.22793644666671753, 0.0)","(0.5529773235321045, 0.0, 0.0)","['avg', 0.13581697642803192, 0.017533572390675545, 0.0]"
0235-01.html,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.37811630964279175, 0.0, 0.0)","(0.22033023834228516, 0.0, 0.0)","(0.7320984601974487, 0.7464912533760071, 0.7392247915267944)","(0.5144101977348328, 0.256289541721344, 0.3421253263950348)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","['avg', 0.14191962778568268, 0.07713698595762253, 0.08318077772855759]"
0237-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.7854716181755066, 0.3661968410015106, 0.4995139539241791)","(0.7111202478408813, 0.6198796033859253, 0.6623726487159729)","(0.1952744871377945, 0.25869300961494446, 0.22255399823188782)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.8993745446205139, 0.8649824857711792, 0.8757263422012329]"
0244-01.html,"(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","(0.2634636163711548, 0.22621464729309082, 0.24342240393161774)","(0.6469342708587646, 0.5320107340812683, 0.583871066570282)","(0.1952744871377945, 0.25869300961494446, 0.22255399823188782)","(1.000000238418579, 1.000000238418579, 1.000000238418579)","['avg', 0.8542826771736145, 0.8474554419517517, 0.8499884009361267]"
0250-01.html,"(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","(0.5709470510482788, 0.5290810465812683, 0.5492174029350281)","(0.5791798233985901, 0.4918050765991211, 0.531928300857544)","(0.7693561315536499, 0.7693561315536499, 0.7693561315536499)","(1.0000001192092896, 1.0000001192092896, 1.0000001192092896)","['avg', 0.9168833494186401, 0.9069417715072632, 0.9115771055221558]"
