Case Name,Location,JSON
Brock v. Hardman,"https://scholar.google.com/scholar_case?case=15554325720687656767&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 1, 'title': 'Brock v. Hardman', 'result_id': 'Pz9PJtUQ3NcJ', 'link': 'https://scholar.google.com/scholar_case?case=15554325720687656767&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '814 SE2d 736 (2018). 303 Ga. 729 … Supreme Court of Georgia. Decided: May 21, 2018 … We first address whether we have jurisdiction over the appeal arising from this civil action …', 'publication_info': {'summary': '814 SE 2d 736, 303 Ga. 729 - Ga: Supreme Court, 2018 - Google Scholar', 'authors': [{'name': '814 SE 2d 736'}, {'name': '303 Ga. 729'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Pz9PJtUQ3NcJ', 'cited_by': {'total': 39, 'link': 'https://scholar.google.com/scholar?cites=15554325720687656767&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '15554325720687656767', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=15554325720687656767&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=15554325720687656767&hl=en&num=20&as_sdt=4,11', 'cluster_id': '15554325720687656767', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=15554325720687656767&engine=google_scholar&hl=en&num=20'}}}"
Ambler v. Archer,"https://scholar.google.com/scholar_case?case=17858907906549611192&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 2, 'title': 'Ambler v. Archer', 'result_id': 'uPpN1h6W1_cJ', 'link': 'https://scholar.google.com/scholar_case?case=17858907906549611192&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Observations: ""The Act is designed to simplify Georgia Civil Procedure by de … philosophy in an article entitled, Comments on the Georgia Civil Practice Act of 1966, appearing in 3 Ga …', 'publication_info': {'summary': '196 SE 2d 858, 230 Ga. 281 - Ga: Supreme Court, 1973 - Google Scholar', 'authors': [{'name': '196 SE 2d 858'}, {'name': '230 Ga. 281'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=uPpN1h6W1_cJ', 'cited_by': {'total': 75, 'link': 'https://scholar.google.com/scholar?cites=17858907906549611192&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '17858907906549611192', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=17858907906549611192&engine=google_scholar&hl=en&num=20'}}}"
Jones v. Peach Trader Inc.,"https://scholar.google.com/scholar_case?case=17713390258199964118&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 3, 'title': 'Jones v. Peach Trader Inc.', 'result_id': '1qnfG5ea0vUJ', 'link': 'https://scholar.google.com/scholar_case?case=17713390258199964118&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… comprehensively and exhaustively"" modernizing appellate procedure in civil cases … assumes different meanings were intended.\'"" Berryhill v. Georgia Cmty … Support & Sols., Inc., 281 Ga …', 'publication_info': {'summary': '807 SE 2d 840, 302 Ga. 504 - Ga: Supreme Court, 2017 - Google Scholar', 'authors': [{'name': '807 SE 2d 840'}, {'name': '302 Ga. 504'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=1qnfG5ea0vUJ', 'cited_by': {'total': 66, 'link': 'https://scholar.google.com/scholar?cites=17713390258199964118&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '17713390258199964118', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=17713390258199964118&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=17713390258199964118&hl=en&num=20&as_sdt=4,11', 'cluster_id': '17713390258199964118', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=17713390258199964118&engine=google_scholar&hl=en&num=20'}}}"
City of Gainesville v. Dodd,"https://scholar.google.com/scholar_case?case=5725256095371473947&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 4, 'title': 'City of Gainesville v. Dodd', 'result_id': 'G7TBxBUydE8J', 'link': 'https://scholar.google.com/scholar_case?case=5725256095371473947&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '573 SE2d 369 (2002). 275 Ga. 834. CITY OF GAINESVILLE v. DODD et al. No. S01G1717. Supreme Court of Georgia. November 25, 2002. Reconsideration Denied December 13, 2002 …', 'publication_info': {'summary': '573 SE 2d 369, 275 Ga. 834 - Ga: Supreme Court, 2002 - Google Scholar', 'authors': [{'name': '573 SE 2d 369'}, {'name': '275 Ga. 834'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=G7TBxBUydE8J', 'cited_by': {'total': 258, 'link': 'https://scholar.google.com/scholar?cites=5725256095371473947&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '5725256095371473947', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=5725256095371473947&engine=google_scholar&hl=en&num=20'}}}"
Titelman v. Stedman,"https://scholar.google.com/scholar_case?case=8354694266528292565&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 5, 'title': 'Titelman v. Stedman', 'result_id': '1V5pmyvW8XMJ', 'link': 'https://scholar.google.com/scholar_case?case=8354694266528292565&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… Supreme Court of Georgia … Civil Practice § 7-4, p. 574 (2d ed.1997) … and certainty as to leave no room for the exercise of judgment or discretion.\' [Cit.]"" Henderson v. McVay, 269 Ga …', 'publication_info': {'summary': '591 SE 2d 774, 277 Ga. 460 - Ga: Supreme Court, 2003 - Google Scholar', 'authors': [{'name': '591 SE 2d 774'}, {'name': '277 Ga. 460'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=1V5pmyvW8XMJ', 'cited_by': {'total': 53, 'link': 'https://scholar.google.com/scholar?cites=8354694266528292565&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '8354694266528292565', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=8354694266528292565&engine=google_scholar&hl=en&num=20'}}}"
White v. State,"https://scholar.google.com/scholar_case?case=7833583295318727466&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 6, 'title': 'White v. State', 'result_id': 'Khvow4B6tmwJ', 'link': 'https://scholar.google.com/scholar_case?case=7833583295318727466&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '243 Ga. 250 (1979). 253 SE2d 694. WHITE v. THE STATE. 34152. Supreme Court of Georgia. Submitted November 3, 1978. Decided February 15, 1979 …', 'publication_info': {'summary': '253 SE 2d 694, 243 Ga. 250 - Ga: Supreme Court, 1979 - Google Scholar', 'authors': [{'name': '253 SE 2d 694'}, {'name': '243 Ga. 250'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=Khvow4B6tmwJ', 'cited_by': {'total': 114, 'link': 'https://scholar.google.com/scholar?cites=7833583295318727466&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '7833583295318727466', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=7833583295318727466&engine=google_scholar&hl=en&num=20'}}}"
Rowland v. State,"https://scholar.google.com/scholar_case?case=8447840127138518862&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 7, 'title': 'Rowland v. State', 'result_id': 'TtdhSdbBPHUJ', 'link': 'https://scholar.google.com/scholar_case?case=8447840127138518862&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': ""… Thus, I would hold that once a Georgia appellate court's jurisdiction has been … for its refusal to reach the merits in a civil case … cases cited in footnote 5. But see Mitchell v. State, 214 Ga …"", 'publication_info': {'summary': '264 Ga. 872, 452 SE 2d 756 - Ga: Supreme Court, 1995 - Google Scholar', 'authors': [{'name': '264 Ga. 872'}, {'name': '452 SE 2d 756'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=TtdhSdbBPHUJ', 'cited_by': {'total': 788, 'link': 'https://scholar.google.com/scholar?cites=8447840127138518862&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '8447840127138518862', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=8447840127138518862&engine=google_scholar&hl=en&num=20'}}}"
Felix v. State,"https://scholar.google.com/scholar_case?case=7820154887564685277&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 8, 'title': 'Felix v. State', 'result_id': '3e_T8W_FhmwJ', 'link': 'https://scholar.google.com/scholar_case?case=7820154887564685277&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… On appeal to the Court of Appeals of Georgia, appellants asserted in … The Act was passed ""to simplify the procedure for bringing a … the appellate court"" (Taylor v. ROA Motors, 114 Ga.App …', 'publication_info': {'summary': '523 SE 2d 1, 271 Ga. 534 - Ga: Supreme Court, 1999 - Google Scholar', 'authors': [{'name': '523 SE 2d 1'}, {'name': '271 Ga. 534'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=3e_T8W_FhmwJ', 'cited_by': {'total': 204, 'link': 'https://scholar.google.com/scholar?cites=7820154887564685277&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '7820154887564685277', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=7820154887564685277&engine=google_scholar&hl=en&num=20'}}}"
Williams v. DeKalb County,"https://scholar.google.com/scholar_case?case=14356331469522899369&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 9, 'title': 'Williams v. DeKalb County', 'result_id': 'qZGsjmjvO8cJ', 'link': 'https://scholar.google.com/scholar_case?case=14356331469522899369&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… forth claims for mandamus, declaratory and injunctive relief, criminal and civil penalties for … claim that the County Home Rule Paragraph of the Georgia Constitution, see Ga …', 'publication_info': {'summary': '840 SE 2d 423, 308 Ga. 265 - Ga: Supreme Court, 2020 - Google Scholar', 'authors': [{'name': '840 SE 2d 423'}, {'name': '308 Ga. 265'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=qZGsjmjvO8cJ', 'cited_by': {'total': 69, 'link': 'https://scholar.google.com/scholar?cites=14356331469522899369&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '14356331469522899369', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=14356331469522899369&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=14356331469522899369&hl=en&num=20&as_sdt=4,11', 'cluster_id': '14356331469522899369', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=14356331469522899369&engine=google_scholar&hl=en&num=20'}}}"
Blackmon v. Tenet Healthsystem Spalding,"https://scholar.google.com/scholar_case?case=13619427124340321352&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11","{'position': 10, 'title': 'Blackmon v. Tenet Healthsystem Spalding', 'result_id': 'SOyfjs_sAb0J', 'link': 'https://scholar.google.com/scholar_case?case=13619427124340321352&q=georgia+civil+pro+se&hl=en&num=20&as_sdt=4,11', 'snippet': '… of action was required by Article VI, Section I, Paragraph VIII of the Georgia Constitution, which … [1] See Ga … Any court shall transfer to the appropriate court in the state any civil case in …', 'publication_info': {'summary': '667 SE 2d 348, 284 Ga. 369 - Ga: Supreme Court, 2008 - Google Scholar', 'authors': [{'name': '667 SE 2d 348'}, {'name': '284 Ga. 369'}]}, 'inline_links': {'serpapi_cite_link': 'https://serpapi.com/search.json?engine=google_scholar_cite&hl=en&q=SOyfjs_sAb0J', 'cited_by': {'total': 61, 'link': 'https://scholar.google.com/scholar?cites=13619427124340321352&as_sdt=80005&sciodt=4,11&hl=en&num=20', 'cites_id': '13619427124340321352', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=80005&cites=13619427124340321352&engine=google_scholar&hl=en&num=20'}, 'versions': {'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=13619427124340321352&hl=en&num=20&as_sdt=4,11', 'cluster_id': '13619427124340321352', 'serpapi_scholar_link': 'https://serpapi.com/search.json?as_sdt=4%2C11&cluster=13619427124340321352&engine=google_scholar&hl=en&num=20'}}}"
