Case Name,Case Number,Court,Judicial Officer,Date Filed,Case Type,Case Status,Plaintiff,Petitioner,Defendent,Compensation,Date Served,Path,Citations,Chronology
"Tyrone BROOKS, Et Al., Plaintiffs, v. STATE BOARD OF ELECTIONS, Et Al., Defendants, and Donald Cheeks, Et Al., Intervenors 8415886778461964173",civ. a. cv288-146,"District Court, S.D. Georgia",Edenfield,"{'argued': '1994-03-07', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1742998/brooks-v-state-board-of-elections/,"['848 F. Supp. 1548', '1994 U.S. Dist. LEXIS 3272', '1994 WL 90619']",
"Jonathan SMITH Streamline Logistics, LLC Betty Padgett B & L Express, Inc. John L. Darnell, Jr. Henry Edwards and Linda J. Fifield, individually and on behalf of others similarly situated v. GEORGIA ENERGY USA, LLC Georgia Petro USA, LLC Fairley Cisco Cisco Oil, Inc Cisco Travel Plaza, Inc. Cisco Travel Plaza, Inc. II United Fuel, Inc. Kuldeep S. Sekhon Althea Cisco Shave Tammy Cisco Walker Jack Ghazi Kingsland Management, LLC Kingsland Management II, LLC Georgia Petro II USA, LLC Biju Abraham and Global Energy USA, LLC 6245920405517464497", cv208-20,"District Court, S.D. Georgia",Alaimo,"{'argued': '2009-08-10', 'reargued': None}",civil action ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8772627/smith-v-georgia-energy-usa-llc/,"['259 F.R.D. 684', '2009 U.S. Dist. LEXIS 69812', '2009 WL 2486896']",
"Angela Dianna THOMPSON and Albert Thompson, Plaintiffs, v. Roger QUARLES and Werner Enterprises, Inc., Defendants 1115643094668790326",civil action cv107-149,"District Court, S.D. Georgia",Anthony A. Alaimo,"{'argued': '2008-07-16', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1897646/thompson-v-quarles/,"['392 B.R. 517', '2008 U.S. Dist. LEXIS 74903', '2008 WL 2794799']",
Duane R. OLSON v. Vic LOY 1578203979322060622, cv296-034,"District Court, S.D. Georgia",Alaimo,"{'argued': '1996-10-23', 'reargued': None}",civil action ,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/8744271/olson-v-loy/,"['951 F. Supp. 225', '1996 U.S. Dist. LEXIS 19206', '1996 WL 738751']",
"Frances and Thomas KENDRICK D/B/A Georgia Paint & Body Works, Plaintiff, v. CITY COUNCIL OF AUGUSTA, GEORGIA, Defendant 4958444356114899211",civ. a. 179-266,"District Court, S.D. Georgia",Bowen,"{'argued': '1981-06-19', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/1578562/kendrick-v-city-council-of-augusta-ga/,"['516 F. Supp. 1134', '1981 U.S. Dist. LEXIS 12800']",
"Michael POORE & Bruce Bias, Individually and on Behalf of All Others Similarly Situated, Plaintiffs, v. AMERICAN-AMICABLE LIFE INSURANCE CO. OF TEXAS, Defendant 6268237572213748816",cv 498-259,"District Court, S.D. Georgia",Nangle,"{'argued': '2000-12-20', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2424912/poore-v-american-amicable-life-insurance-co-of-texas/,"['125 F. Supp. 2d 1378', '2000 U.S. Dist. LEXIS 18816', '2000 WL 1901632']",
"Harry TELFAIR, Plaintiff, v. Thomas GILBERG, and Oscar Gaines, Defendants 7903657863251182172",civ. a. 493-310,"District Court, S.D. Georgia",Edenfield,"{'argued': '1994-10-24', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2149002/telfair-v-gilberg/,"['868 F. Supp. 1396', '1994 U.S. Dist. LEXIS 16494', '1994 WL 653518']",
"Octavio REYES-MORALES, Petitioner, v. Walt WELLS, Warden, Et Al., Respondents 6851242664734368486",cv 309-074,"District Court, S.D. Georgia",Dudley H. Bowen,"{'argued': '2011-01-19', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2470723/reyes-morales-v-wells/,"['766 F. Supp. 2d 1349', '2011 U.S. Dist. LEXIS 6218', '2011 WL 201636']",
"AMERIS BANK, as assignee of The Federal Deposit Insurance Corporation, Receiver of Darby Bank and Trust Co. v. SB PARTNERS, LLC and Roy S. Shiver, Jr. 1217362969018401936",cv 614-097,"District Court, S.D. Georgia",Hall,"{'argued': '2016-01-04', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/7317999/ameris-bank-ex-rel-federal-deposit-insurance-v-sb-partners-llc/,"['157 F. Supp. 3d 1356', '2016 U.S. Dist. LEXIS 5', '2016 WL 29224']",
"Lawrence MASSEY, Plaintiff, v. UNITED TRANSPORTATION UNION and Central of Georgia Railroad Company, Defendant 1952529936858644148",civ. a. 493-272,"District Court, S.D. Georgia",Edenfield,"{'argued': '1994-10-03', 'reargued': None}",.,Published,.,.,.,.,.,https://www.courtlistener.com/opinion/2148991/massey-v-united-transportation-union/,"['868 F. Supp. 1385', '1994 U.S. Dist. LEXIS 16479', '1994 WL 653515']",
